"depth","shrinkage","nTree","loss","auroc","auprc","occ.corr","det.corr","occ.MAE","det.MAE","bag.frac","nSites","nVisits"
NA,NA,1,1.24673580395907,0.882505333739714,0.64079407060288,NA,NA,NA,NA,1,314,3
NA,NA,10,1.15000106716501,0.887248552270649,0.680701487025304,NA,NA,NA,NA,1,314,3
NA,NA,100,0.825520291118668,0.9061795184395,0.751057500013709,NA,NA,NA,NA,1,314,3
NA,NA,1000,0.44738054673961,0.943203291679366,0.870957289344905,NA,NA,NA,NA,1,314,3
NA,NA,101,0.823824967984115,0.906225236208473,0.751403433093712,NA,NA,NA,NA,1,314,3
NA,NA,102,0.822303070523348,0.906834806461445,0.752064715419137,NA,NA,NA,NA,1,314,3
NA,NA,103,0.82092243000641,0.906743370923499,0.751979331122897,NA,NA,NA,NA,1,314,3
NA,NA,104,0.819448511396784,0.907124352331606,0.752950056578161,NA,NA,NA,NA,1,314,3
NA,NA,105,0.817847530943897,0.906861475160012,0.753519808473381,NA,NA,NA,NA,1,314,3
NA,NA,106,0.816476005291609,0.906869094788174,0.753475375197569,NA,NA,NA,NA,1,314,3
NA,NA,107,0.815055517137055,0.906949100883877,0.753753113560266,NA,NA,NA,NA,1,314,3
NA,NA,108,0.813570948630236,0.906941481255715,0.753807735251978,NA,NA,NA,NA,1,314,3
NA,NA,109,0.812110567587252,0.906648125571472,0.753791923740337,NA,NA,NA,NA,1,314,3
NA,NA,11,1.14113301501849,0.886699939042975,0.679946892039947,NA,NA,NA,NA,1,314,3
NA,NA,110,0.810776103992303,0.906968149954282,0.754417460794489,NA,NA,NA,NA,1,314,3
NA,NA,111,0.809274283390353,0.907219597683633,0.754700961943385,NA,NA,NA,NA,1,314,3
NA,NA,112,0.807952004065667,0.907189119170984,0.754859101162135,NA,NA,NA,NA,1,314,3
NA,NA,113,0.806574640039961,0.906869094788174,0.754858185258484,NA,NA,NA,NA,1,314,3
NA,NA,114,0.805239973385329,0.906968149954282,0.754969833248908,NA,NA,NA,NA,1,314,3
NA,NA,115,0.803956833724763,0.906838616275526,0.756504328176167,NA,NA,NA,NA,1,314,3
NA,NA,116,0.802492982783375,0.906183328253581,0.756274498288809,NA,NA,NA,NA,1,314,3
NA,NA,117,0.801307578452252,0.906084273087473,0.755837613315262,NA,NA,NA,NA,1,314,3
NA,NA,118,0.799915967852444,0.905444224321853,0.75655063472128,NA,NA,NA,NA,1,314,3
NA,NA,119,0.798720263878769,0.90518515696434,0.755026538723325,NA,NA,NA,NA,1,314,3
NA,NA,12,1.13251814461432,0.886905669003353,0.681581017594438,NA,NA,NA,NA,1,314,3
NA,NA,120,0.797566762355244,0.905444224321853,0.755663527290417,NA,NA,NA,NA,1,314,3
NA,NA,121,0.796296788145595,0.905550899116123,0.757156310583761,NA,NA,NA,NA,1,314,3
NA,NA,122,0.794923136495045,0.905969978665041,0.758364448202869,NA,NA,NA,NA,1,314,3
NA,NA,123,0.793687173407208,0.905634715025907,0.75785545028868,NA,NA,NA,NA,1,314,3
NA,NA,124,0.792561601358479,0.905383267296556,0.756836272576703,NA,NA,NA,NA,1,314,3
NA,NA,125,0.791428192445277,0.905307071014934,0.756949484058354,NA,NA,NA,NA,1,314,3
NA,NA,126,0.790129275086549,0.903485979884182,0.756091606761823,NA,NA,NA,NA,1,314,3
NA,NA,127,0.789026666567129,0.902403992685157,0.755734982447129,NA,NA,NA,NA,1,314,3
NA,NA,128,0.787732954482087,0.902503047851265,0.756175978865059,NA,NA,NA,NA,1,314,3
NA,NA,129,0.786715962174445,0.902183023468455,0.755386492529013,NA,NA,NA,NA,1,314,3
NA,NA,13,1.12428737632572,0.883682566290765,0.678311608482243,NA,NA,NA,NA,1,314,3
NA,NA,130,0.785378446355191,0.902007772020725,0.755623524047984,NA,NA,NA,NA,1,314,3
NA,NA,131,0.784222589918496,0.901611551356294,0.754899144484712,NA,NA,NA,NA,1,314,3
NA,NA,132,0.78317076353609,0.90163441024078,0.755238154464642,NA,NA,NA,NA,1,314,3
NA,NA,133,0.782073667870379,0.90174108503505,0.755394073501558,NA,NA,NA,NA,1,314,3
NA,NA,134,0.780855750693193,0.901897287412374,0.755859079962572,NA,NA,NA,NA,1,314,3
NA,NA,135,0.779765639571994,0.901874428527888,0.756163814775458,NA,NA,NA,NA,1,314,3
NA,NA,136,0.77856941973933,0.901676318195672,0.756365929977178,NA,NA,NA,NA,1,314,3
NA,NA,137,0.777490821726198,0.899527583053947,0.754909289331302,NA,NA,NA,NA,1,314,3
NA,NA,138,0.776521974993397,0.899512343797623,0.754921452531133,NA,NA,NA,NA,1,314,3
NA,NA,139,0.775348555045743,0.899100883876867,0.754522441894228,NA,NA,NA,NA,1,314,3
NA,NA,14,1.11626199644975,0.883476836330387,0.675547791690048,NA,NA,NA,NA,1,314,3
NA,NA,140,0.774069957686564,0.90081530021335,0.756824788415745,NA,NA,NA,NA,1,314,3
NA,NA,141,0.773063893625612,0.900830539469674,0.756855389195531,NA,NA,NA,NA,1,314,3
NA,NA,142,0.77198923374519,0.900800060957025,0.757371045854773,NA,NA,NA,NA,1,314,3
NA,NA,143,0.770980348311089,0.90070862541908,0.757764951014689,NA,NA,NA,NA,1,314,3
NA,NA,144,0.769902384037496,0.900472416946053,0.757396796668662,NA,NA,NA,NA,1,314,3
NA,NA,145,0.768984579733992,0.900419079548918,0.756813821511922,NA,NA,NA,NA,1,314,3
NA,NA,146,0.767640555675795,0.902613532459616,0.758473092479767,NA,NA,NA,NA,1,314,3
