"depth","shrinkage","nTree","loss","auroc","auprc","occ.corr","det.corr","occ.MAE","det.MAE","bag.frac","nSites","nVisits"
NA,NA,1,0.722868622387464,0.837034372501999,0.45353121089178,NA,NA,NA,NA,0.7055,303,3
NA,NA,10,0.585248133169262,0.880039968025579,0.720803018558101,NA,NA,NA,NA,0.7055,303,3
NA,NA,100,0.159787412480023,0.994916067146283,0.963879214994094,NA,NA,NA,NA,0.7055,303,3
NA,NA,1000,0.0196818071751265,0.999856115107914,0.998431126767969,NA,NA,NA,NA,0.7055,303,3
NA,NA,101,0.152223389604118,0.995875299760192,0.96927379768243,NA,NA,NA,NA,0.7055,303,3
NA,NA,102,0.196277302554578,0.996067146282974,0.970499945066747,NA,NA,NA,NA,0.7055,303,3
NA,NA,103,0.186548399286378,0.996067146282974,0.970797602021089,NA,NA,NA,NA,0.7055,303,3
NA,NA,104,0.161694915283585,0.996067146282974,0.970797602021089,NA,NA,NA,NA,0.7055,303,3
NA,NA,105,0.195360624325603,0.99621103117506,0.972669637983319,NA,NA,NA,NA,0.7055,303,3
NA,NA,106,0.142179330312676,0.996163069544365,0.972788844028292,NA,NA,NA,NA,0.7055,303,3
NA,NA,107,0.151314644952029,0.996131095123901,0.972169630880717,NA,NA,NA,NA,0.7055,303,3
NA,NA,108,0.178310128049751,0.996163069544365,0.972313975850131,NA,NA,NA,NA,0.7055,303,3
NA,NA,109,0.138450918600873,0.996498800959233,0.976141696891783,NA,NA,NA,NA,0.7055,303,3
NA,NA,11,0.538950731560721,0.886946442845723,0.731976593491224,NA,NA,NA,NA,0.7055,303,3
NA,NA,110,0.165959981327265,0.996514788169464,0.976345271095357,NA,NA,NA,NA,0.7055,303,3
NA,NA,111,0.153884794596391,0.996514788169464,0.976345271095357,NA,NA,NA,NA,0.7055,303,3
NA,NA,112,0.161282457760534,0.996482813749001,0.976282213705175,NA,NA,NA,NA,0.7055,303,3
NA,NA,113,0.166812372519668,0.996546762589928,0.977012440742736,NA,NA,NA,NA,0.7055,303,3
NA,NA,114,0.131083590594643,0.996498800959233,0.976729633951244,NA,NA,NA,NA,0.7055,303,3
NA,NA,115,0.157434985230566,0.995795363709033,0.97403581031764,NA,NA,NA,NA,0.7055,303,3
NA,NA,116,0.151024848667231,0.995795363709033,0.97403581031764,NA,NA,NA,NA,0.7055,303,3
NA,NA,117,0.154058310665462,0.995763389288569,0.97408302097817,NA,NA,NA,NA,0.7055,303,3
NA,NA,118,0.168439336951918,0.995667466027178,0.973604646666029,NA,NA,NA,NA,0.7055,303,3
NA,NA,119,0.15556730139596,0.995747402078337,0.974377315505909,NA,NA,NA,NA,0.7055,303,3
NA,NA,12,0.497496574916013,0.881742605915268,0.735720887237961,NA,NA,NA,NA,0.7055,303,3
NA,NA,120,0.162302590171957,0.995475619504396,0.972078996729787,NA,NA,NA,NA,0.7055,303,3
NA,NA,121,0.148409601855097,0.995475619504396,0.972078996729787,NA,NA,NA,NA,0.7055,303,3
NA,NA,122,0.169416642253053,0.995411670663469,0.971743514983409,NA,NA,NA,NA,0.7055,303,3
NA,NA,123,0.129897211448796,0.995203836930456,0.969572835363924,NA,NA,NA,NA,0.7055,303,3
NA,NA,124,0.171890917297237,0.995283772981615,0.969681300517066,NA,NA,NA,NA,0.7055,303,3
NA,NA,125,0.160869196181169,0.995699440447642,0.972340752437759,NA,NA,NA,NA,0.7055,303,3
NA,NA,126,0.130731536762376,0.995651478816946,0.9722750665474,NA,NA,NA,NA,0.7055,303,3
NA,NA,127,0.152165156631196,0.995587529976019,0.971760428505757,NA,NA,NA,NA,0.7055,303,3
NA,NA,128,0.168408446205097,0.995539568345324,0.97140430633929,NA,NA,NA,NA,0.7055,303,3
NA,NA,129,0.129745533944716,0.995747402078337,0.972850324846923,NA,NA,NA,NA,0.7055,303,3
NA,NA,13,0.482902811368949,0.892629896083133,0.742138193743043,NA,NA,NA,NA,0.7055,303,3
NA,NA,130,0.146883749464244,0.995747402078337,0.972850324846923,NA,NA,NA,NA,0.7055,303,3
NA,NA,131,0.148750141787097,0.995747402078337,0.972850324846923,NA,NA,NA,NA,0.7055,303,3
NA,NA,132,0.159719608004307,0.995635491606715,0.972077978333014,NA,NA,NA,NA,0.7055,303,3
NA,NA,133,0.150282424874716,0.995715427657874,0.972712216028389,NA,NA,NA,NA,0.7055,303,3
