"depth","shrinkage","nTree","loss","auroc","auprc","occ.corr","det.corr","occ.MAE","det.MAE","bag.frac","nSites","nVisits"
NA,NA,1,0.926082935102648,0.778593717495319,0.400310616119354,NA,NA,NA,NA,0.4633,317,3
NA,NA,10,0.775964137329175,0.815857083420013,0.568092157442104,NA,NA,NA,NA,0.4633,317,3
NA,NA,100,0.358383100579729,0.907873933846474,0.777673709219511,NA,NA,NA,NA,0.4633,317,3
NA,NA,1000,0.064096829573521,0.982161431246099,0.86290326926893,NA,NA,NA,NA,0.4633,317,3
NA,NA,101,0.376381955518936,0.908518826711046,0.776614491762618,NA,NA,NA,NA,0.4633,317,3
NA,NA,102,0.336413366640643,0.910911171208654,0.777304813954532,NA,NA,NA,NA,0.4633,317,3
NA,NA,103,0.339362110165754,0.910796754732682,0.780220032487125,NA,NA,NA,NA,0.4633,317,3
NA,NA,104,0.361340257227207,0.911914915747868,0.782104486879752,NA,NA,NA,NA,0.4633,317,3
NA,NA,105,0.365427415850266,0.912674225088413,0.781529849701297,NA,NA,NA,NA,0.4633,317,3
NA,NA,106,0.365812220585143,0.912351778656126,0.779108206444404,NA,NA,NA,NA,0.4633,317,3
NA,NA,107,0.341225190816328,0.912684626586228,0.780250652990782,NA,NA,NA,NA,0.4633,317,3
NA,NA,108,0.381818174192739,0.913350322446432,0.781751121289686,NA,NA,NA,NA,0.4633,317,3
NA,NA,109,0.364710981797622,0.91149885583524,0.780038705076403,NA,NA,NA,NA,0.4633,317,3
NA,NA,11,0.712641205637016,0.818051799459122,0.576746526356171,NA,NA,NA,NA,0.4633,317,3
NA,NA,110,0.322044676168966,0.913922404826295,0.783894557192584,NA,NA,NA,NA,0.4633,317,3
NA,NA,111,0.351975719303851,0.914213646765134,0.775927548833048,NA,NA,NA,NA,0.4633,317,3
NA,NA,112,0.336445570912217,0.913755980861244,0.777438261246794,NA,NA,NA,NA,0.4633,317,3
NA,NA,113,0.3342267352808,0.913350322446432,0.777246230792504,NA,NA,NA,NA,0.4633,317,3
NA,NA,114,0.325105236060788,0.913672768878719,0.778336383585013,NA,NA,NA,NA,0.4633,317,3
NA,NA,115,0.34109863986075,0.913974412315373,0.780456254277358,NA,NA,NA,NA,0.4633,317,3
NA,NA,116,0.234337377561612,0.919091949240691,0.78190983841712,NA,NA,NA,NA,0.4633,317,3
NA,NA,117,0.352261210721537,0.919690035365093,0.786019687341116,NA,NA,NA,NA,0.4633,317,3
NA,NA,118,0.361287868572049,0.919554815893489,0.786475333499444,NA,NA,NA,NA,0.4633,317,3
NA,NA,119,0.266095412196899,0.919201164967755,0.785335507977085,NA,NA,NA,NA,0.4633,317,3
NA,NA,12,0.636655290851324,0.817224880382775,0.582217557769334,NA,NA,NA,NA,0.4633,317,3
NA,NA,120,0.324884124661722,0.919102350738506,0.785933702756956,NA,NA,NA,NA,0.4633,317,3
NA,NA,121,0.308866820547163,0.919185562721032,0.786324790515073,NA,NA,NA,NA,0.4633,317,3
NA,NA,122,0.302397226063442,0.919736842105263,0.787766975894072,NA,NA,NA,NA,0.4633,317,3
NA,NA,123,0.315256441524907,0.920381734969836,0.788053110781038,NA,NA,NA,NA,0.4633,317,3
NA,NA,124,0.310714041842322,0.924199084668192,0.79200690764286,NA,NA,NA,NA,0.4633,317,3
NA,NA,125,0.31966330543941,0.924147077179114,0.791034884582684,NA,NA,NA,NA,0.4633,317,3
NA,NA,126,0.365345417173156,0.924479925109216,0.793192120405538,NA,NA,NA,NA,0.4633,317,3
NA,NA,127,0.246672360611909,0.926258581235698,0.793387340375345,NA,NA,NA,NA,0.4633,317,3
NA,NA,128,0.260602475131509,0.926008945288121,0.796510427341785,NA,NA,NA,NA,0.4633,317,3
NA,NA,129,0.320206266024579,0.925353650925733,0.783295168439864,NA,NA,NA,NA,0.4633,317,3
NA,NA,13,0.703325436698644,0.823871437486998,0.597986114109389,NA,NA,NA,NA,0.4633,317,3
NA,NA,130,0.266376405620618,0.92639900145621,0.784318322736678,NA,NA,NA,NA,0.4633,317,3
NA,NA,131,0.303884462706799,0.924859579779488,0.783971186583294,NA,NA,NA,NA,0.4633,317,3
NA,NA,132,0.305245310910027,0.926066153526108,0.784934960394354,NA,NA,NA,NA,0.4633,317,3
NA,NA,133,0.358576967923035,0.926149365508633,0.786939018798428,NA,NA,NA,NA,0.4633,317,3
NA,NA,134,0.240627824373925,0.926076555023923,0.787309689844506,NA,NA,NA,NA,0.4633,317,3
NA,NA,135,0.294571143910599,0.926086956521739,0.786561337126869,NA,NA,NA,NA,0.4633,317,3
NA,NA,136,0.26977017131237,0.925436862908259,0.787058143774343,NA,NA,NA,NA,0.4633,317,3
NA,NA,137,0.342195238761425,0.925197628458498,0.786982899003548,NA,NA,NA,NA,0.4633,317,3
NA,NA,138,0.285558466808753,0.925478468899522,0.787666809272308,NA,NA,NA,NA,0.4633,317,3
NA,NA,139,0.329006988481987,0.92637299771167,0.789879895947258,NA,NA,NA,NA,0.4633,317,3
NA,NA,14,0.700437551910104,0.832941543582276,0.609272319195793,NA,NA,NA,NA,0.4633,317,3
NA,NA,140,0.262178575028837,0.927225920532557,0.791392442100176,NA,NA,NA,NA,0.4633,317,3
NA,NA,141,0.309718365542454,0.926778656126482,0.7914347996353,NA,NA,NA,NA,0.4633,317,3
NA,NA,142,0.35367424729211,0.930471187851051,0.794139858772106,NA,NA,NA,NA,0.4633,317,3
