"depth","shrinkage","nTree","loss","auroc","auprc","occ.corr","det.corr","occ.MAE","det.MAE","bag.frac","nSites","nVisits"
NA,NA,1,1.24673210932184,0.892426089606827,0.659819626810819,NA,NA,NA,NA,1,314,3
NA,NA,10,1.15013115598869,0.893222340749771,0.682952372498631,NA,NA,NA,NA,1,314,3
NA,NA,100,0.825425483995007,0.904941328863151,0.751963614572814,NA,NA,NA,NA,1,314,3
NA,NA,1000,0.446504952756496,0.940258305394697,0.874025030549059,NA,NA,NA,NA,1,314,3
NA,NA,101,0.823989060287935,0.904834654068881,0.751453803142418,NA,NA,NA,NA,1,314,3
NA,NA,102,0.822315760520135,0.904804175556233,0.752530950348671,NA,NA,NA,NA,1,314,3
NA,NA,103,0.820842122782609,0.903897439804938,0.75228260912989,NA,NA,NA,NA,1,314,3
NA,NA,104,0.819384789287657,0.904087930508991,0.752778612371164,NA,NA,NA,NA,1,314,3
NA,NA,105,0.817948960253498,0.904301280097531,0.753291977672402,NA,NA,NA,NA,1,314,3
NA,NA,106,0.816361145151347,0.904026973483694,0.753571696129439,NA,NA,NA,NA,1,314,3
NA,NA,107,0.815023679827626,0.903783145382505,0.752485533304708,NA,NA,NA,NA,1,314,3
NA,NA,108,0.813647333327412,0.90394315757391,0.752620958270934,NA,NA,NA,NA,1,314,3
NA,NA,109,0.8121790003137,0.903615513562938,0.752559401908804,NA,NA,NA,NA,1,314,3
NA,NA,11,1.14128364474726,0.89282612008534,0.682940952503569,NA,NA,NA,NA,1,314,3
NA,NA,110,0.810853397233187,0.903722188357208,0.752934238631279,NA,NA,NA,NA,1,314,3
NA,NA,111,0.809503450114735,0.902944986284669,0.752474065408826,NA,NA,NA,NA,1,314,3
NA,NA,112,0.808039355469437,0.902792593721426,0.752669457730827,NA,NA,NA,NA,1,314,3
NA,NA,113,0.806765705352806,0.903051661078939,0.753091134684468,NA,NA,NA,NA,1,314,3
NA,NA,114,0.805315727464667,0.901474398049375,0.752267836150903,NA,NA,NA,NA,1,314,3
NA,NA,115,0.803989293416031,0.901664888753429,0.752356723331431,NA,NA,NA,NA,1,314,3
NA,NA,116,0.802785889590188,0.901611551356294,0.752552843505009,NA,NA,NA,NA,1,314,3
NA,NA,117,0.801481078078263,0.901687747637915,0.752999857398063,NA,NA,NA,NA,1,314,3
NA,NA,118,0.800130624998499,0.901611551356294,0.75283919186609,NA,NA,NA,NA,1,314,3
NA,NA,119,0.798966708125779,0.901687747637915,0.753325812769259,NA,NA,NA,NA,1,314,3
NA,NA,12,1.13268525465188,0.893283297775069,0.686335793990153,NA,NA,NA,NA,1,314,3
NA,NA,120,0.797561894601483,0.901447729350808,0.753346798072578,NA,NA,NA,NA,1,314,3
NA,NA,121,0.796295156658732,0.901470588235294,0.753359122787692,NA,NA,NA,NA,1,314,3
NA,NA,122,0.795216819512114,0.901440109722646,0.753328982599351,NA,NA,NA,NA,1,314,3
NA,NA,123,0.793712666291093,0.901813471502591,0.753792546115882,NA,NA,NA,NA,1,314,3
NA,NA,124,0.792364526747856,0.901341054556538,0.753353838847304,NA,NA,NA,NA,1,314,3
NA,NA,125,0.791089818367159,0.901676318195672,0.754412441117117,NA,NA,NA,NA,1,314,3
NA,NA,126,0.789884385936371,0.900251447729351,0.75287513693483,NA,NA,NA,NA,1,314,3
NA,NA,127,0.788771998125722,0.900411459920756,0.753113388207107,NA,NA,NA,NA,1,314,3
NA,NA,128,0.787587778835522,0.900380981408107,0.754118785212462,NA,NA,NA,NA,1,314,3
NA,NA,129,0.786372864993969,0.900198110332216,0.754434420702569,NA,NA,NA,NA,1,314,3
NA,NA,13,1.1244597352983,0.89282612008534,0.682940952503569,NA,NA,NA,NA,1,314,3
NA,NA,130,0.785242969620027,0.897957939652545,0.753926526836011,NA,NA,NA,NA,1,314,3
NA,NA,131,0.784178252762914,0.897896982627248,0.753365072751208,NA,NA,NA,NA,1,314,3
