"depth","shrinkage","nTree","loss","auroc","auprc","occ.corr","det.corr","occ.MAE","det.MAE","bag.frac","nSites","nVisits"
NA,NA,1,0.761249828337966,0.817379093411223,0.443841228329486,NA,NA,NA,NA,0.9508,344,3
NA,NA,10,0.439846918650967,0.960450485873167,0.820045039636884,NA,NA,NA,NA,0.9508,344,3
NA,NA,100,0.120719327033716,0.994731225074426,0.983096577186343,NA,NA,NA,NA,0.9508,344,3
NA,NA,1000,0.0122029447019499,1,1,NA,NA,NA,NA,0.9508,344,3
NA,NA,101,0.123173247608409,0.994697522889401,0.982989390056461,NA,NA,NA,NA,0.9508,344,3
NA,NA,102,0.114398251027346,0.9986069763523,0.988816542226603,NA,NA,NA,NA,0.9508,344,3
NA,NA,103,0.112908513698761,0.998595742290625,0.988759451199242,NA,NA,NA,NA,0.9508,344,3
NA,NA,104,0.108989954473943,0.998618210413975,0.989002842355561,NA,NA,NA,NA,0.9508,344,3
NA,NA,105,0.110765802466355,0.998640678537325,0.989134471896683,NA,NA,NA,NA,0.9508,344,3
NA,NA,106,0.110117390874888,0.998663146660675,0.989357044366986,NA,NA,NA,NA,0.9508,344,3
NA,NA,107,0.108322094942216,0.998663146660675,0.989357044366986,NA,NA,NA,NA,0.9508,344,3
NA,NA,108,0.111307593558143,0.99867438072235,0.989414135394346,NA,NA,NA,NA,0.9508,344,3
NA,NA,109,0.1120480686832,0.99867438072235,0.989414135394346,NA,NA,NA,NA,0.9508,344,3
NA,NA,11,0.435380970784259,0.965309217547604,0.811890960077354,NA,NA,NA,NA,0.9508,344,3
NA,NA,110,0.107582086502079,0.99867438072235,0.989414135394346,NA,NA,NA,NA,0.9508,344,3
NA,NA,111,0.114281067682778,0.99867438072235,0.989414135394346,NA,NA,NA,NA,0.9508,344,3
NA,NA,112,0.103507152759618,0.99898893444925,0.991482842093531,NA,NA,NA,NA,0.9508,344,3
NA,NA,113,0.111192243671976,0.99903387069595,0.991879234935314,NA,NA,NA,NA,0.9508,344,3
NA,NA,114,0.105995419221765,0.999045104757625,0.991983749647216,NA,NA,NA,NA,0.9508,344,3
NA,NA,115,0.102679987239573,0.999067572880975,0.992203995919662,NA,NA,NA,NA,0.9508,344,3
NA,NA,116,0.104789467585587,0.99907880694265,0.992322909701894,NA,NA,NA,NA,0.9508,344,3
NA,NA,117,0.105855985047468,0.99907880694265,0.992322909701894,NA,NA,NA,NA,0.9508,344,3
NA,NA,118,0.10461662425138,0.999090041004325,0.992444605280053,NA,NA,NA,NA,0.9508,344,3
NA,NA,119,0.107399587311874,0.9993259562995,0.99421144941356,NA,NA,NA,NA,0.9508,344,3
NA,NA,12,0.400172820125961,0.966387687468404,0.827736491919318,NA,NA,NA,NA,0.9508,344,3
NA,NA,120,0.0999035730333336,0.999314722237825,0.994147784875872,NA,NA,NA,NA,0.9508,344,3
NA,NA,121,0.101404306971299,0.99930348817615,0.994027480195676,NA,NA,NA,NA,0.9508,344,3
NA,NA,122,0.102191753721846,0.99930348817615,0.994027480195676,NA,NA,NA,NA,0.9508,344,3
NA,NA,123,0.101925419978414,0.99930348817615,0.994027480195676,NA,NA,NA,NA,0.9508,344,3
NA,NA,124,0.101484936336652,0.99930348817615,0.994027480195676,NA,NA,NA,NA,0.9508,344,3
NA,NA,125,0.103088406679622,0.999292254114475,0.993905784617516,NA,NA,NA,NA,0.9508,344,3
NA,NA,126,0.0976205916383754,0.999292254114475,0.993905784617516,NA,NA,NA,NA,0.9508,344,3
NA,NA,127,0.0976359524441634,0.999314722237825,0.994123752764192,NA,NA,NA,NA,0.9508,344,3
NA,NA,128,0.0972666953815146,0.999314722237825,0.994123752764192,NA,NA,NA,NA,0.9508,344,3
NA,NA,129,0.0996237803543806,0.99934842442285,0.994421863926699,NA,NA,NA,NA,0.9508,344,3
NA,NA,13,0.400173026714106,0.969291692411391,0.835758776113387,NA,NA,NA,NA,0.9508,344,3
NA,NA,130,0.0967453971778926,0.999359658484525,0.994543559504858,NA,NA,NA,NA,0.9508,344,3
NA,NA,131,0.0978401382061781,0.99934842442285,0.994421863926699,NA,NA,NA,NA,0.9508,344,3
NA,NA,132,0.09721128053983,0.99934842442285,0.994421863926699,NA,NA,NA,NA,0.9508,344,3
NA,NA,133,0.0921598119155996,0.99934842442285,0.994421863926699,NA,NA,NA,NA,0.9508,344,3
NA,NA,134,0.0935591252965726,0.99934842442285,0.994421863926699,NA,NA,NA,NA,0.9508,344,3
NA,NA,135,0.0890250899468978,0.99934842442285,0.994421863926699,NA,NA,NA,NA,0.9508,344,3
NA,NA,136,0.0936136624242223,0.999359658484525,0.994538150984145,NA,NA,NA,NA,0.9508,344,3
NA,NA,137,0.0890377248470254,0.999359658484525,0.994538150984145,NA,NA,NA,NA,0.9508,344,3
NA,NA,138,0.0864672990698307,0.999359658484525,0.994538150984145,NA,NA,NA,NA,0.9508,344,3
NA,NA,139,0.0919086345213106,0.99934842442285,0.994475493026916,NA,NA,NA,NA,0.9508,344,3
NA,NA,14,0.390308508505156,0.969067011177891,0.840690706698529,NA,NA,NA,NA,0.9508,344,3
NA,NA,140,0.09022923198145,0.999606807841375,0.996222964898443,NA,NA,NA,NA,0.9508,344,3
NA,NA,141,0.0925527004113967,0.999606807841375,0.996222964898443,NA,NA,NA,NA,0.9508,344,3
NA,NA,142,0.0860819060562935,0.9995955737797,0.996106677840996,NA,NA,NA,NA,0.9508,344,3
NA,NA,143,0.0874948004057104,0.999606807841375,0.996228373419156,NA,NA,NA,NA,0.9508,344,3
NA,NA,144,0.0861504835508458,0.999606807841375,0.996228373419156,NA,NA,NA,NA,0.9508,344,3
NA,NA,145,0.0835147050873211,0.999629275964725,0.996444110038818,NA,NA,NA,NA,0.9508,344,3
