"depth","shrinkage","nTree","loss","auroc","auprc","occ.corr","det.corr","occ.MAE","det.MAE","bag.frac","nSites","nVisits"
NA,NA,1,0.724959885435299,0.941570287759879,0.839028100083994,NA,NA,NA,NA,0.7763,305,3
NA,NA,10,0.344109736368204,0.949664968562119,0.894860316369772,NA,NA,NA,NA,0.7763,305,3
NA,NA,100,0.0707897597323536,0.995054844187434,0.969999018880459,NA,NA,NA,NA,0.7763,305,3
NA,NA,1000,0.00789426503069294,0.994722107485428,0.966071114772668,NA,NA,NA,NA,0.7763,305,3
NA,NA,101,0.0759456920421209,0.995238423057506,0.971026859698955,NA,NA,NA,NA,0.7763,305,3
NA,NA,102,0.0728965728629393,0.995204002019368,0.970764311654461,NA,NA,NA,NA,0.7763,305,3
NA,NA,103,0.0789906375530012,0.995341686171922,0.971737028054342,NA,NA,NA,NA,0.7763,305,3
NA,NA,104,0.0704105375246747,0.995341686171922,0.971737028054342,NA,NA,NA,NA,0.7763,305,3
NA,NA,105,0.0700152103408463,0.995100738904952,0.970196351705931,NA,NA,NA,NA,0.7763,305,3
NA,NA,106,0.0662378757210608,0.995100738904952,0.970217553734315,NA,NA,NA,NA,0.7763,305,3
NA,NA,107,0.0674909647494857,0.995192528339988,0.970726629662113,NA,NA,NA,NA,0.7763,305,3
NA,NA,108,0.0675692756438536,0.995249896736886,0.970910266534537,NA,NA,NA,NA,0.7763,305,3
NA,NA,109,0.0699359500851497,0.995249896736886,0.970910266534537,NA,NA,NA,NA,0.7763,305,3
NA,NA,11,0.371719274634614,0.949882968470329,0.897498703368624,NA,NA,NA,NA,0.7763,305,3
NA,NA,110,0.0603198742843535,0.995318738813163,0.971185901311495,NA,NA,NA,NA,0.7763,305,3
NA,NA,111,0.0706293816845591,0.995215475698747,0.970655090291949,NA,NA,NA,NA,0.7763,305,3
NA,NA,112,0.0739388596230695,0.995284317775024,0.971085616519077,NA,NA,NA,NA,0.7763,305,3
NA,NA,113,0.0551220436739339,0.995284317775024,0.971085616519077,NA,NA,NA,NA,0.7763,305,3
NA,NA,114,0.0679160315986854,0.99538758088944,0.971440683525904,NA,NA,NA,NA,0.7763,305,3
NA,NA,115,0.0646439765005505,0.995341686171922,0.971233038931596,NA,NA,NA,NA,0.7763,305,3
NA,NA,116,0.0635447504405206,0.99537610721006,0.971394020374595,NA,NA,NA,NA,0.7763,305,3
NA,NA,117,0.0620441868693791,0.995330212492542,0.971057050691916,NA,NA,NA,NA,0.7763,305,3
NA,NA,118,0.0700128345799736,0.995226949378127,0.970330263608188,NA,NA,NA,NA,0.7763,305,3
NA,NA,119,0.0598147619911865,0.995410528248199,0.971064876340798,NA,NA,NA,NA,0.7763,305,3
NA,NA,12,0.33871588268581,0.949561705447703,0.895824324318561,NA,NA,NA,NA,0.7763,305,3
NA,NA,120,0.0601554109356138,0.995444949286337,0.971361973369192,NA,NA,NA,NA,0.7763,305,3
NA,NA,121,0.0703678355116562,0.995444949286337,0.971361973369192,NA,NA,NA,NA,0.7763,305,3
NA,NA,122,0.0617608260652347,0.995444949286337,0.971361973369192,NA,NA,NA,NA,0.7763,305,3
NA,NA,123,0.0631499723683651,0.995410528248199,0.971201838775649,NA,NA,NA,NA,0.7763,305,3
NA,NA,124,0.0594343604341567,0.995444949286337,0.971361973369192,NA,NA,NA,NA,0.7763,305,3
NA,NA,125,0.0648200321832141,0.995295791454404,0.970513169771985,NA,NA,NA,NA,0.7763,305,3
NA,NA,126,0.054936487660409,0.995330212492542,0.970634326253747,NA,NA,NA,NA,0.7763,305,3
NA,NA,127,0.0545046305124404,0.995422001927578,0.971271174478781,NA,NA,NA,NA,0.7763,305,3
NA,NA,128,0.06346772504308,0.99538758088944,0.971127199478867,NA,NA,NA,NA,0.7763,305,3
NA,NA,129,0.0643261540887899,0.995399054568819,0.971202020195824,NA,NA,NA,NA,0.7763,305,3
NA,NA,13,0.310400275273492,0.962710542016614,0.905587642280504,NA,NA,NA,NA,0.7763,305,3
NA,NA,130,0.0644835533351187,0.995399054568819,0.971202020195824,NA,NA,NA,NA,0.7763,305,3
NA,NA,131,0.0570034014027302,0.995444949286337,0.971409769007245,NA,NA,NA,NA,0.7763,305,3
NA,NA,132,0.0606094269326732,0.995444949286337,0.971409769007245,NA,NA,NA,NA,0.7763,305,3
NA,NA,133,0.060953282087133,0.995571159759512,0.971932828108175,NA,NA,NA,NA,0.7763,305,3
NA,NA,134,0.0525315619443739,0.995571159759512,0.971932828108175,NA,NA,NA,NA,0.7763,305,3
NA,NA,135,0.0577967101654314,0.995536738721373,0.971752878934017,NA,NA,NA,NA,0.7763,305,3
NA,NA,136,0.0581924159285119,0.995525265041994,0.971689951472617,NA,NA,NA,NA,0.7763,305,3
NA,NA,137,0.0528280035299947,0.995525265041994,0.971689951472617,NA,NA,NA,NA,0.7763,305,3
NA,NA,138,0.0520598371334728,0.995525265041994,0.971689951472617,NA,NA,NA,NA,0.7763,305,3
