aspect_mean_75
aspect_stdDev_75
elevation_mean_75
elevation_stdDev_75
slope_stdDev_75
TCA_mean_75
TCA_stdDev_75
TCB_mean_75
TCB_stdDev_75
TCG_stdDev_75
TCW_stdDev_75
aspect_stdDev_150
TCB_stdDev_150
TCW_stdDev_150
aspect_stdDev_300
TCA_stdDev_300
TCB_stdDev_300
TCW_stdDev_300
aspect_mean_600
aspect_stdDev_600
TCB_stdDev_600
TCW_stdDev_600
aspect_mean_1200
aspect_stdDev_1200
TCB_stdDev_1200
TCW_stdDev_1200
aspect_mean_2400
aspect_stdDev_2400
year
day
time
